鋻	giám
甆	từ
甇	anh, trứu
甈	khế
甍	manh
甊	lậu
甋	đích
甌	âu, ẩu
甎	chuyên
甏	bạng, bảnh
甐	lân
甑	tắng, tặng
甒	vũ
甓	bích
甔	đàm
甕	ung, úng, ủng
甖	anh
甗	nghiễn
甘	cam
甙	đại
甚	thậm
甜	điềm
甝	hàm
甞	thường
生	sanh, sinh
甡	sân
產	sản
産	sản
甥	sanh, sinh
甦	tô
用	dụng
甩	súy, suất
甪	lộ, lộc
甫	phủ
甬	dõng, dũng
甭	bằng
甯	ninh, nịnh
田	điền
由	do, yêu
甲	giáp
申	thân
电	điện
甶	phất
男	nam
甸	thịnh, điền, điện
甹	phinh
町	đinh, đỉnh
画	họa, hoạch
甽	quyến
甾	chuy, tai, tri
甿	manh
畀	tí, tý
畂	mẫu, điền
畅	sướng
毗	bì, tì, tỳ
畆	mẫu
畇	quân, vận
畈	phiến, phán
畊	canh
畋	điền
界	giới
畍	giới
畎	quyến
畏	úy
畐	phúc
畔	bạn
留	lưu
畚	bản, bổn
畛	chẩn
畜	húc, súc
畝	mẫu
畞	mẫu
畟	tắc
畢	tất
畡	cai
畣	đáp
畤	chỉ, trĩ
略	lược
畦	huề
畧	lược
畨	phiên
異	di, dị
番	ba, bà, phan, phiên
畫	họa, hoạch
畬	dư, xa
畮	mẫu
畯	tuấn
畱	lưu
畴	trù
畵	hoạch
當	đang, đáng, đương
畷	chuyết
畸	cơ, ki, ky, kỳ
畹	uyển
畺	cương
畽	thoản, thỗn
畾	lũy, lôi
畿	kì, kỳ
疁	liêu
疃	thoản
疄	lân
疆	cương
疇	trù
疈	phúc
疉	điệp
疊	điệp
疋	nhã, sơ, thất
疌	tiệp
疎	sơ, sớ
疏	sơ, sớ
疐	chí, trí, đế
疑	nghi, nghĩ, ngưng, ngật
疒	nạch
疓	nãi, đinh
疔	đinh
疕	phỉ
疖	tiết
疗	liệu
疘	cương, giang, xoang
疙	ngật
疚	cứu
疛	chửu
疝	sán
疟	ngược
疠	lệ
疡	dương
疢	sấn
疣	vưu
疤	ba
疥	giới
疧	kỳ
疫	dịch
疬	lịch
疭	túng
疮	sang
疯	phong
疰	chú
疱	bào, pháo
疲	bì
疳	cam
疴	a, kha
疷	chi
疸	đáp, đản
疹	chẩn
疻	chỉ
疼	đông
疽	thư
疾	tật
疿	phi, phí
痀	câu, củ
痁	thiêm
痂	gia, già
痃	hiền, huyền
痄	chá, trá
病	bệnh
症	chứng, trưng
痈	ung
痉	kinh
疵	tì, tỳ
痊	thuyên
痌	thông, đồng
痍	di
痎	giai
痏	vị
痐	hồi
痑	đả
痒	dương, dưỡng, dạng
痔	trĩ
痕	ngân, ngấn
痖	á
痗	mỗi, mội, một
痘	đậu
痙	kinh, kính
痚	hiêu
痛	thống
痞	bĩ
痟	tiêu
痠	toan
痡	phu, phô
痢	lị
痣	chí
痤	toa, tọa
痧	sa
痨	lao
痪	hoán
痫	giản
痾	a, kha
痯	quản
痰	đàm
痱	phi, phỉ
痲	ma
痳	lâm
痴	si
痵	quý
痶	điển
痹	tí, tý
痺	ty, tê, tí, tý
痻	mân
痼	cố
痿	nuy
瘀	ứ
瘁	tụy
瘂	á
瘃	chúc, trúc
瘅	đan, đản
瘏	đồ
瘐	dũ
瘑	qua
瘇	chủng
瘈	khiết, khế, xiết
瘉	dũ
瘊	hầu
瘋	phong
瘌	lạt
瘍	dương
瘓	hoán
瘕	gia, hà
瘖	âm
瘗	ế
瘘	lu, lũ
瘟	ôn
瘣	hối, khối, lỗi
瘥	sái, ta
瘦	sấu
瘧	ngược
瘩	đáp
瘚	quyết
瘛	khiết, xiết
瘜	tức
瘝	quan
瘞	ế
瘠	tích
瘡	sang
瘢	ban, bàn
瘤	lưu, lựu
瘨	điên
瘪	biết, biệt, tất
瘫	than
瘼	mạc
瘭	phiêu, phiếu, tiêu, tiếu
瘯	thốc, tộc
瘰	loa, lõa, lỗi
瘲	túng
瘳	liêu, sưu
瘴	chướng
瘵	sái
瘸	qua
瘺	lũ
瘻	lu, lâu, lũ
瘾	ẩn
瘿	anh
癃	long, lung
療	liệu
癄	tiều
癅	lưu, lựu
癆	lao
癇	giản, nhàn
癈	phế
癉	đan, đả, đản
癌	ngai, nham
癍	ban
癎	giản
癘	lệ
癐	uy
癑	nung, nùng, nồng
癒	dũ
癕	ung
癖	phích, tích
癗	lũy, lỗi
癙	thử
癜	điến
癞	lại
癤	tiết
癟	biết, biệt, miết, tất
癠	tễ
癡	si
癢	dương, dưỡng, dạng
癣	tiển
癥	trưng
癧	lịch
癩	lại
癫	điên
癮	ẩn
癬	tiển
癭	anh
癯	cù
癰	ung
癱	than
癲	điên
癶	bát
癸	quý
癹	bát
発	phát
登	đăng
發	bát, phát
白	bạch
百	bá, bách, mạch
皀	tấp
皁	tạo
皂	tạo
皃	mạo
的	đích, để
皆	giai
皇	hoàng
皈	quy
畠	tai, tri
皋	cao, hao
皎	hiệu, hạo, kiểu
皐	cao
皑	ngai
皓	cáo, cảo, hạo
皕	bức
皖	hoàn, hoán, hoãn
皙	tích
皚	ngai
皛	hiểu, hịch
皜	cảo, hạo
皞	hạo
皠	thối
皡	hạo
皤	bà
皦	kiểu
皪	lịch
皫	phiếu
皭	tước
皮	bì
皯	cán
皰	pháo
皱	trứu
皲	quân
皴	thuân
皵	thước
皷	cổ
皸	quân
皺	trứu
皻	cha, tra
皼	cổ
皽	cha, triển
皾	độc
皿	mãnh, mẫn
盂	vu
盃	bôi
盄	chiêu
盅	chung, trung
盆	bồn
盇	hạp
盈	doanh
盉	hòa
益	ích
盋	bát
盌	oản, uyển
盍	hạp
盎	áng
盏	trản
盐	diêm
监	giam, giám
盒	hạp
盔	khôi
盖	cái
盗	đạo
盘	bàn
盛	thành, thình, thạnh, thịnh
盜	đạo
盝	lộc
盞	trản
盟	minh
盠	lễ
盡	tẫn, tận
監	giam, giám
盤	bàn
盥	quán
盦	am
盧	lô, lư
盩	chu, châu, trưu
盪	đãng
盬	cổ
盭	lệ
目	mục
盯	trành, đinh
盰	cán
盱	hu
盲	manh, vọng
盳	manh
直	trị, trực
盷	điền
相	tương, tướng
盹	chuân, truân, độn
盻	hễ, phán
盼	miện, phiến, phán
盾	my, thuẫn
眀	minh
省	sảnh, tiển, tỉnh
眃	hỗn
眄	miện
眇	diệu, miểu, miễu
眈	đam
眉	mi, my
眊	mạo
看	khan, khán
眍	khu
眨	triếp, tráp, trát
眎	thị
眐	chính
眑	yểu
眔	đạp
眕	chẩn
眙	di, dị, sỉ
眚	sảnh
眛	muội
眞	chân
真	chân
眠	miên
眡	thị
眢	oan, uyên
眣	điệt
眩	huyễn
眬	lung
眥	trại, tí, tý, xải
眦	trại, tí, tý, xải
眭	huề, khôi, tuy
眯	mê, mễ, mị
眱	di
眲	nhị
眳	danh
眴	huyễn, thuấn
眵	si
眶	khuông
眷	quyến
眸	mâu
眹	trẫm
眺	diểu, thiếu
眼	nhãn, nhẫn
眽	mạch
眾	chúng
着	hồ, trước, trứ, trữ
睁	tranh, tĩnh
睂	mi, my
睃	tuấn
睄	sảo
睅	han, hạn
睆	hoãn, hoản
睇	thê, đê, đệ
睊	quyến
睋	nga
睍	hiển, hiện
睎	hi, hy
睏	khốn
睐	lai, lãi
睑	kiểm
䀹	tiếp
睒	thiểm
睔	cổn
睕	uyên
睖	lăng
睗	thích
睘	quỳnh
睚	nhai
睛	tinh, tình
睜	tranh, tĩnh
睞	lai, lãi
睟	túy
睠	quyến
睡	thụy
睢	huy, thư, tuy
督	đốc
睤	bễ
睥	bễ
睦	mục
睨	nghễ
睩	lộc
睪	cao, dịch, nhiếp, trạch, đố
睫	tiệp
睬	thải
睭	chửu
睹	đổ
瞄	miêu, miểu
睮	du
睺	hầu
睼	đề
睽	khuê, quý
睾	cao
睿	duệ
瞀	mậu
瞂	phạt
瞅	thiễu, thu
瞆	quý
瞇	mị
瞍	tẩu
䁖	lâu
瞈	ổng
瞋	sân, trấn
瞌	hạp, khạp
瞎	hạt
瞏	quỳnh
瞑	minh, miên, miễn
瞒	man, môn
瞙	mạc
瞝	si
瞢	mông, măng, mộng
瞖	ế
瞘	khu
瞚	thuấn
瞛	thung
瞜	lâu
瞞	man, môn
瞟	phiêu, phiếu
瞠	sanh
瞡	quy
瞥	miết
瞰	khám
瞤	nhuần, nhuận, thuấn, thuần
瞧	tiều
瞩	chúc
瞪	trừng
瞫	thẩm
瞬	thuấn
瞭	liêu, liễu, liệu
瞲	huyết
瞳	đồng
瞵	lân
瞶	quý
瞷	gian, gián, nhàn
瞻	chiêm
瞼	kiểm
瞽	cổ
瞾	chiếu
瞿	cù, cụ, củ
矁	thiễu, thu
矆	hoạch
矇	mông
矅	diệu
矉	tần
矊	miên
矎	huyến, huýnh
矍	quắc
矐	hoắc
矑	lô
矓	lung
矕	mãn
矖	ly
矗	súc, sốc, xúc
矙	khám
矘	thảng
矚	chúc
矛	mâu
矜	căng, quan
矞	duật, húc, quyệt
矟	sác, sáo, sóc
矠	tích
矢	thi, thỉ
矣	hĩ, hỷ, hỹ
知	tri, trí
矦	hầu
矧	thẩn
矩	củ
矫	kiểu
矬	toa, tòa, tọa
短	đoản
矮	nụy, oải, ải
矯	kiểu
矰	tăng
矱	hoạch
矲	bái, bả
石	thạch, đạn
矴	đính, đĩnh
矶	ki, ky
矸	can, ngạn
矹	ngột
矻	khốt, ngột
矼	cang, khang, xoang
矽	tịch
矾	phàn
矿	khoáng, quáng
砀	nãng, nương, đãng
码	mã
砐	ngập
泵	bơm
砂	sa
砃	đan
砅	lệ
砆	phu
砉	hoạch
砌	thế, xế
砍	khảm
砏	phàn
砑	nha, nhạ
砒	phê, tì, tỳ
研	nghiên, nghiễn
砖	chuyên
砗	xa
砚	nghiễn
砜	phong
砭	biêm
砝	kiếp, pháp
砠	thư
砢	kha, lõa
砣	đà
砥	chỉ, để
砧	châm
砨	ải
砩	phất, phế
砮	nỗ
砰	phanh
砲	pháo
砳	lặc
破	phá
砵	bát
砷	thân
砸	tạp
砺	lệ
砻	lung
砼	đồng
砾	lịch
础	sở
硁	khanh
砦	trại
硃	chu, châu
硅	khuê
硇	lỗ, nao, nạo
硉	luật, lột
硊	ngụy
硋	ngại
硌	các, lạc
硍	hạn, khẩn, khẳng
硎	hình
硏	nghiên, nghiễn
硐	động
硒	tây
硕	thạc
硖	giáp
硗	khao, nghiêu, sao
硙	cai, ngại
硚	kiều
硭	mang
硜	khanh
硝	tiêu
硠	lang
硡	hoành
硤	giáp, hạp
硨	xa
硪	nga, ngã, ngạ
硫	lưu
硬	ngạnh
确	khác, xác
硯	nghiễn
硶	sầm
硷	dảm, kiềm, thiêm
硼	bằng, phanh
硾	trụy
硿	không
碁	kì, kỳ
碃	thanh
碄	lâm
碅	khuân
碆	ba
碇	đính, đĩnh
碉	điêu
碌	lục, lựu
碍	ngại
碎	toái
碏	thác, thước, tích
碐	lăng
碑	bi
碒	ngâm
碓	đối
碔	vũ
碕	kỳ
碗	oản, uyển
碘	điển
碙	cương, nạo
碚	bội
碛	thích
碜	sầm
碰	binh, bánh, bính
䃅	đê
碞	nham
碟	điệp
碡	độc
碣	kiệt, kệ
碥	biển
碧	bích
碨	ôi
碩	thạc
碪	châm
碫	đoán, đoạn
碭	nãng, nương, đãng
碯	não
碱	dảm, giảm, kiềm, kiểm, thiêm
碲	đế
碳	thán
碴	tra
碶	khế
碸	phong
碹	tuyên
磁	từ
磈	ủy
磋	tha
磓	đôi
確	xác
碻	nghiêu, xác
碼	mã
碾	chiển, niển, niễn, triển
磅	bàng, bảng
磇	tỳ
磉	tảng
磊	lỗi
磌	điền
磍	hạt
磏	liêm
磐	bàn
磑	cai, ngôi, ngại
磒	vẫn, vận
磔	trách, trích
磕	khái
磗	chuyên
磙	cổn
磝	ngao
磤	ân
磚	chuyên
磛	sàm
磞	phanh
磟	lựu
磠	lỗ, nạo
磡	khám
磢	sảng
磣	sầm, sẩm
磥	lỗi
磧	thích
磨	ma, má
磪	thôi
磬	khánh
磲	cừ
磺	hoàng, khoáng
磯	ki, ky
磴	đặng
磵	giản
磶	tích
磷	lân, lấn
磹	điệm
磻	bà, bàn
磼	tập
磽	khao, khiêu, nghiêu, xao
磾	đê, đạn
磿	lịch
礁	tiêu, tiều
礃	chưởng
礄	kiều
礅	đôn
礆	dảm, kiềm, thiêm
礉	khiếu
礊	khách
礌	lôi, lỗi
礎	sở
礏	ngập
礒	nghị
礓	cương
礔	tích
礚	khái
礜	dự, xác
礞	mông
礡	bạc
礙	ngại
礛	lam
礝	nhuyễn
礟	pháo
礤	sát
礦	khoáng, quáng
礪	lệ
礥	hiền
礧	lôi, lỗi
礨	lôi, lỗi
礩	chí, chất
礫	lịch
礬	phàn
礮	bác, pháo
礴	bạc
礱	lung
礶	quán
礹	nham
礻	thị
示	kì, kỳ, thị
礼	lễ
礽	nhưng
祁	kì, kỳ
社	xã
礿	dược, thược
祀	tự
祂	tha
祃	mạ
祅	yêu
祆	hiên, yêu
祇	chi, chỉ, kì, kỳ
祈	kì, kỳ
祉	chỉ
祊	banh
祋	đoái
祎	y
祏	thạch
祐	hữu, hựu
祑	trật
祓	phất
祔	phụ
祕	bí
祖	tổ
祗	chi
祚	tộ
祛	khư
祜	hỗ
祝	chú, chúc
神	thần
祠	từ
祢	nễ, nỉ
祘	toán
祟	chúy, trúy, túy
祥	tường
祧	dao, diêu, thiêu
祪	quỷ
祫	hạp, hợp
祯	trinh
祡	sài
票	phiêu, phiếu, tiêu
祭	sái, tế
祲	tẩm
祳	chấn
祴	cai
祷	đảo
祸	họa
視	thị
祺	kì, kỳ
祻	cố
祼	lõa, quán
祿	lộc, lục
禂	đảo
禄	lộc
禅	thiền, thiện
禍	họa
禀	bẩm, bằng, lẫm
禁	câm, cấm, cầm
禊	hễ, hệ
禋	nhân, yên
禎	trinh
福	phúc, phước
禓	dương, thương
禔	đề
禕	y
禖	môi
禗	tư
禘	đế
禚	chước
禛	chân
禠	ti, ty, tư
禡	mã, mạ
禜	vinh
禩	tự
禧	hi, hy, hỉ
禨	ky, kỵ
禪	thiền, thiện
禫	đạm
禦	ngữ, ngự
禬	quái
禮	lễ
禰	nễ, nỉ
禱	đảo
禳	nhương
禴	dược
禸	nhụ, nhựu
禹	vũ
禺	ngu, ngung, ngẫu, ngụ
离	li, ly, lệ
禼	tiết
禽	cầm
萬	vạn
禾	hòa
禿	ngốc, thốc
秀	tú
私	tư
秃	ngốc, thốc
秄	tử
秅	nà, trà
秆	cán
秈	tiên
秉	bỉnh
秊	niên
秋	thu, thâu
秌	thu
种	chúng, chủng, trùng, xung
秏	háo, hạo
科	khoa
秒	miểu, miễu
秔	canh
秕	bỉ, tỷ
秖	kì, kỳ
秬	cự
秭	tỉ, tỷ
秘	bí
秜	ni
秝	lịch
秞	dứu
租	tô
秠	phi
秣	mạt
秤	xứng
秦	tần
秧	ương, ưởng
秩	dật, trật
秪	chi
秫	thuật
积	tí, tích
称	xưng, xứng
䄷	thạch
秷	xứng
秸	kiết
秺	trà
移	di, dị, sỉ, xỉ
秽	uế
秾	nùng
稆	lữ
稀	hi, hy
稂	lang
稃	phu, phù
稅	thoát, thuế, thối
稇	khổn
稈	cán
稉	canh
稊	đề
程	trình
稌	đồ
稍	sao, sảo
税	thoát, thuế, thối
𥞵	giáp
稏	á
稑	lục
稔	nhẫm, nẫm
稖	bang
稗	bại
稘	cơ, ky, kỳ
稙	thực, trị
稚	trĩ
稛	khổn
稜	lăng, lắng
稝	banh
稞	khoa, khỏa
稟	bẩm, lẫm
稠	trù, điều, điệu
稣	tô
䅟	sam
稨	biển
稬	nhu, noãn, nọa
稭	giai, kiết
種	chúng, chủng
稯	tông
稰	tự
稱	xưng, xứng
稳	ổn
穊	ký
稴	liêm
稷	tắc
稸	súc
稹	chân, chẩn
稺	trĩ
稻	đạo
稼	giá
稽	khể, kê
稾	cảo
稿	cảo
穀	cốc
穄	tế
穅	khang
穆	mặc, mục
穇	sam, sâm
穈	my, môn
穋	lục
穌	tô
積	tích, tý
穎	dĩnh
穐	thu
穑	sắc
穉	trĩ
穗	tuệ
穛	tróc
穜	chúng, chủng, đồng
穟	toại, tuệ
穠	nùng
穡	sắc
穢	uế
穥	dự
穫	hoạch
穤	nhu, noãn, nọa
穧	tế, tễ
穨	đôi, đồi
穩	ổn
穪	xưng
穬	quáng
穭	lữ
穮	tiêu
龝	thu, thâu
穰	nhương, nhưỡng
穴	huyệt
穵	oạt, ấp
究	cứu
穷	cùng
穸	tịch
穹	khung
空	không, khống, khổng
穻	hu, vũ
穽	tỉnh, tịnh
穾	yểu
穿	xuyên, xuyến
窀	truân
突	gia, đột
窃	thiết
窆	biếm
窄	trách
窅	diểu, liểu, yểu
窈	yểu
窉	bính
窊	oa
窋	quật, truật
窌	giáo
窍	khiếu
窎	điếu
窏	ô
窐	khuê
窑	dao, diêu
窒	chất, trất
窓	song
窔	diểu, yếu, yểu
窕	dao, thiêu, điệu
窖	diếu, giáo, giếu
窗	song
窘	quẫn
窛	khấu
窜	soán, thoán
窝	oa
窞	nảm, đạm, đảm
窟	quật
窠	khoa, khòa, khỏa
窢	vực
窣	tốt
窥	khuy
窦	đậu
窩	oa
窨	huân, ấm
窪	oa
窬	du
窭	cũ, lũ
窮	cùng
窯	dao, diêu
窰	dao, diêu
窱	điệu
窳	dũ
窴	điền
窵	điếu
窶	cũ, lũ
窸	tất
窹	ngụ
窺	khuy
窻	song
窿	long, lung
窾	khoản
竀	sanh
竁	xuyến, xuế
竄	soán, thoán
竅	khiếu
竆	cùng
竇	đậu
竈	táo
竊	thiết
立	lập
产	sản
亲	thân, thấn
竑	hoành
竖	thụ
竒	kì, kỳ
竘	cú
站	trạm
竚	trữ
竛	linh
竜	long
竝	tịnh
竞	cạnh
竟	cánh, cảnh
章	chương
竫	tĩnh
竢	sĩ
竣	thuyên, thuân
童	đồng
竦	tủng
竪	thụ
靖	tĩnh, tịnh
竭	kiệt
竮	phinh
端	đoan
竱	chuyển
競	cạnh
竸	cạnh
竹	trúc
竺	trúc, đốc
竻	cân, lặc
竽	vu
竾	trì
竿	can, cán
笃	đốc
笈	cấp
笄	kê
笅	hào
笆	ba
笇	toán
笊	tráo, trảo
笋	duẩn, duẫn, tuân, tuẩn
笏	hốt
笐	hàng
笑	tiếu
笒	linh
笓	tỳ
笔	bút
笕	kiển
笫	chỉ
笘	thiêm
笙	sanh, sinh
笛	địch
笞	si
笠	lạp
笢	mân
笣	bao
笤	điều
笥	tứ
符	bồ, phù
笨	bát, bản, bổn
笪	đát
第	đệ
笭	linh
笮	trá, trách, tạc
笯	nô
笰	phất
笱	cú, cầu, cẩu
笲	phiền
笳	gia, già
笴	hạo, khả
笵	phạm
笸	phả
笺	tiên
笻	cung
笼	lung, lộng
笾	biên
筇	cung, cùng
筁	khúc
筅	tiển
筆	bút
筈	quát
等	đẳng
筊	giảo, hào
筋	cân
筌	thuyên
筍	duẩn, duẫn, tuân, tuẩn, tuận, tấn
筏	phiệt, phạt
筐	khuông
筑	trúc
筒	đồng, động
筓	kê
答	đáp
策	sách
筘	khấu
筚	tất
筛	si, sư
筜	đương
筝	tranh
筥	cử
筳	đình
筵	diên
䇲	giáp, sách
筞	sách
筟	phu
筠	quân
筡	đồ
筢	ba
筣	lê
筤	lang
筦	quản
筧	kiển
筩	đồng
筭	toán
筮	phệ, thệ
筯	trợ, trứ
筰	tạc
筱	tiểu
筲	sao
筴	giáp, hiệp, kiệp, sách
筷	khoái
筸	can, cao
筹	trù
筼	vân
签	thiêm
简	giản
節	tiết, tiệt
劄	tráp, trát
箄	bài, phỉ, tị, tỳ
箅	bế, ty
箆	bề, tỵ
箇	cá
箈	đài
箊	ư
箋	tiên
箌	tráo, trạo
箍	cô
箎	trì
箏	tranh
箐	thiến, tinh
箑	tiệp
箒	chửu, trửu
箓	lục
箔	bạc
箕	cơ, ki, ky
箖	lâm
算	toán
箘	duẩn, khuân
箙	phục
箚	tráp
箜	không
箝	kiềm
箟	côn, khuân
箠	chủy
管	quản
箦	trách
箧	khiếp
箨	thác
箩	la
箪	đan
箫	tiêu
箬	nhược
箸	trợ, trứ
箭	tiến, tiễn
箯	tiên
箱	sương, tương
箲	tiển
箴	châm
箵	tỉnh
箷	di
箹	ước
箾	sao, sóc, tiêu
篁	hoàng
範	phạm
篅	thùy
篆	triện
篇	thiên
篋	khiếp
篌	hầu
篎	miểu
篑	quỹ
篓	lâu, lũ
篨	trừ
𥰭	si
築	trúc
篔	vân
篗	diệp, dược
篘	trừu
篙	cao
篚	phỉ
篛	nhược
篝	câu
篞	niết
篠	tiểu
篡	soán, thoán
篣	bàng, bành
篤	đốc
篥	lật
篦	bế, bề, tỵ
篧	trạc
篩	si, sư
篪	trì
篮	lam
篰	bậu, bộ
篱	li, ly
篳	tất
篴	địch
篷	bồng
篹	soạn, toán, toản
簉	sứu, sửu
簑	thoa, xoa
篲	tuệ
篸	sâm, trâm
篺	bài
篼	đâu
篾	miết, miệt, mịch
篿	đoàn
簀	trách
簁	si
簂	quắc
簃	di, dĩ
簆	khấu
簇	thấu, thốc, tộc
簋	quỹ
簌	thốc, tốc
簍	lâu, lũ
簎	trách
簏	lộc
簒	soán, thoán
簔	thoa, xoa
簖	đoán
簧	hoàng
簻	qua
簙	bác, bạc
簜	đãng
簝	liêu
簞	đan
簟	điệm
簠	phủ
簡	giản
簢	mẫn
簣	quỹ
簥	kiểu
簦	đăng
簨	soạn, tuẩn
簩	lao
簪	trâm
簮	trâm
簰	bài
簶	lộc
䉍	giản, manh
簫	tiêu, tiểu
簬	lộ
簳	cán
簴	cự
簵	lộ
簷	diêm, thiềm
簸	bá
簹	đương
簺	tái
簼	câu
簽	thiêm
簾	liêm
簿	bạ, bạc, bộ
籀	trứu
籁	lãi, lại
籅	dư
籈	chân
籃	lam
籄	quỹ
籉	đài
籊	địch
籋	nhiếp
籌	trù
籍	tạ, tịch
籕	trứu
籐	đằng
籑	soạn
籒	trứu
籔	sổ, tẩu
籖	thiêm
籗	trạc
籙	lục
籚	lư
籛	tiên
籜	thác
籝	doanh
籟	lãi, lại
籧	cừ, cử
籞	ngữ
籠	lung, lộng
籢	liêm
籣	lan
籤	thiêm, tiêm
籥	dược, thược
籦	chung
籩	biên
籪	đoán
籬	li, ly
籭	si
籮	la
籯	doanh
籰	dược
籲	dụ
米	mễ
籴	địch
籸	sân
籹	nhữ
籺	hột
类	loại
籼	tiên
籽	tử
粃	bỉ, chuỷ, tỷ
粇	canh
粉	phấn
粋	túy
粑	ba
粔	cự
畨	phiên
粒	lạp
粕	phách
粗	thô, thố
粘	niêm
粛	túc
粜	thiếu
粝	lệ
粞	tê
粟	túc
粢	tư, tế, từ
粤	việt
粥	chúc, dục
粦	lân
粧	trang
粪	phân, phấn, phẩn
粮	lương
粱	lương
粲	sán, xán
粳	canh, cánh, ngạnh
粵	việt
粰	phu, phù
粹	toái, túy
粺	bại, mại
粻	trương
粼	lân
粽	tông, tống
精	tinh
粿	quả
糁	tảm
糂	tảm
糅	nhữu
糇	hầu
糈	sở, tư
糉	tống
糊	hồ
糌	ta
糍	từ
糔	tưu
糐	đoàn
糒	bí, bị
糕	cao
糖	đường
糗	khứu
糙	tháo
糚	trang
糢	mô
糜	mi, my
糝	tảm
糞	phân, phấn, phẩn
糟	tao
糠	khang
糡	cưỡng
糤	tản
糦	xí
糧	lương
糨	cưỡng
糯	nhu, nọa
糰	đoàn
糲	lệ
糱	nghiệt
糴	địch
糵	nghiệt
糶	thiếu
糷	lan
纟	mịch
纠	củ, kiểu
糸	mịch
糹	mịch
纡	hu, u, vu
红	hồng
纣	trụ
纤	khiên, tiêm
纥	hột
约	yêu, ước
级	cấp
纨	hoàn
纩	khoáng
纪	kỉ, kỷ
纫	nhân, nhận
糺	củ
系	hệ
纬	vĩ
纭	vân
纮	hoành
纯	chuẩn, thuần, truy, đồn
纰	bì, phi
纱	sa
纲	cương
纳	nạp
纴	nhâm
纵	tung, tông, túng, tổng
纶	luân, quan
纷	phân
纸	chỉ
纹	văn, vấn
纺	phưởng
纻	trữ
纽	nữu, nựu
纾	thư
糽	tranh, đinh
糾	củ, kiểu
线	tuyến
绀	cám
绁	tiết
绂	phất
练	luyện
组	tổ
绅	thân
细	tế
织	chí, chức, xí
终	chung
绉	trứu
绊	bán, bạn
绋	phất
绌	chuyết, truất
绍	thiệu
绎	dịch
经	kinh
绐	đãi
䌷	trừu
紀	kỉ, kỷ
紂	trụ
紃	tuần, xuyên
約	yêu, ước
紅	công, hồng
紆	hu, u, vu
紇	hột, ngột
紈	hoàn
紉	nhân, nhận
級	cấp
绑	bang, bảng
绒	nhung
结	kết
绔	khố
绕	nhiễu
绖	điệt
绗	hàng
绘	hội
给	cấp
绚	huyến
绛	giáng
络	lạc
绝	tuyệt
绞	giảo, hào
统	thống
紊	vấn, vặn
紋	văn, vấn
納	nạp
紏	củ, thẩu
紐	nữu, nựu
紑	phù, phủ
紒	kế
紓	thư
純	chuẩn, thuần, truy, tuyền, đồn
紕	bì, bỉ, phi
紖	dẫn
紗	sa
紘	hoành
紙	chỉ
紛	phân
紜	vân
紝	nhâm
紞	đãn, đảm
紟	câm, cấm
素	tố
紡	phưởng
索	sách, tác
紥	trát
紧	khẩn
绠	cảnh
绡	tiêu
绢	quyên
绣	tú
绤	khích
绥	nhuy, thỏa, tuy
绦	thao
继	kế
绨	đề
紩	trật
紬	trừu
紭	hoằng
紮	trát
累	lõa, luy, lụy, lũy
細	tế
紱	phất
紲	sế, tiết
紳	thân
紵	trữ
紹	thiệu
紺	cám
紼	phất
紽	đà
紾	chẩn, diễn, khẩn
紿	đãi
絀	chuyết, truất
絁	thi
終	chung
絃	huyền
組	tổ
絅	quynh, quýnh
絆	bán, bạn
絇	cù
経	kinh
绩	tích
绪	tự
绫	lăng
续	tục
绮	khỉ, ỷ
绯	phi
绰	xước
绲	cổn
绳	thằng
维	duy
绵	miên
绶	thụ
绷	banh, băng, bắng
绸	thao, trù, trừu
绹	đào
绺	lữu
绻	quyển
综	tông, tống, tổng
绽	trán
绾	oản
绿	lục
缀	chuyết, chuế, xuyết
缁	tri, truy
𥿎	uyển
紫	tử
絍	nhâm
絎	hàng, hạnh
絏	tiết
結	kế, kết
絓	quai, quái
絕	tuyệt
絖	khoáng
絙	căng
絚	căng
絛	thao
絜	hiệt, khiết, kiết
絝	khố
絞	giảo, hào
絡	lạc
絢	huyến
絣	bình, băng, phanh
絥	phục
給	cấp
絨	nhung
絪	nhân
絫	lũy
絭	quyến
絮	nhứ, trữ
絯	ai
絰	điệt
統	thống
絲	ti, ty
絳	giáng, ráng
絶	tuyệt
絷	trập
綁	bang, bảng
綎	đinh
綖	diên, tuyến
缂	khách
缃	tương
缄	giam
缅	diến, miến, miễn
缆	lãm
缇	đề
缈	diểu, miểu
缉	tập
缊	uân, uẩn, ôn
缋	hội
缌	ti, ty
缎	đoạn
缏	biền
缐	tuyến
缑	câu
缒	trúy
缓	hoãn
缔	đế
缕	lâu, lũ
编	biên
缗	mân
缘	duyên
絸	kiển
絹	quyên
絺	hi, hy
絻	miễn, miện, vãn, vấn
絼	trẩn
絿	cầu
綀	sơ, sư
綂	thống
綃	tiêu
綅	tiêm, tiên, xâm
綆	bính, cảnh
綇	thu
綈	đề
綉	tú
綌	khích
綍	phất
綏	nhuy, thỏa, tuy
綑	khổn
經	kinh
綕	chức
綘	phùng
継	kế
続	tục
缙	tấn
缚	phược, phọc
缛	nhục
缜	chẩn
缝	phùng, phúng
缞	thôi
缟	cảo
缠	triền
缡	li, ly, sái, sỉ
缢	ải
缣	kiêm
缤	tân
綜	tông, tống, tổng
綝	lâm, sâm
綟	lệ
綠	lục
綢	thao, trù, trừu
綣	quyển
